Tech,zone,index,x,y,gridcell,area,dist
Solar,AT,AT11,16.0,47.0,x1600y4700,7.4,0.0
Solar,AT,AT11,16.0,47.2,x1600y4725,3.3,0.0
Solar,AT,AT11,16.0,47.5,x1600y4750,0.0,0.0
Solar,AT,AT11,16.2,47.0,x1625y4700,87.6,0.0
Solar,AT,AT11,16.2,47.2,x1625y4725,104.9,0.0
Solar,AT,AT11,16.2,47.5,x1625y4750,5.3,0.0
Solar,AT,AT11,16.2,47.8,x1625y4775,4.2,0.0
Solar,AT,AT11,16.5,47.0,x1650y4700,11.3,0.0
Solar,AT,AT11,16.5,47.2,x1650y4725,5.0,0.0
Solar,AT,AT11,16.5,47.5,x1650y4750,82.1,0.0
Solar,AT,AT11,16.5,47.8,x1650y4775,55.8,0.0
Solar,AT,AT11,16.5,48.0,x1650y4800,0.0,0.0
Solar,AT,AT11,16.8,47.5,x1675y4750,3.6,0.0
Solar,AT,AT11,16.8,47.8,x1675y4775,8.3,0.0
Solar,AT,AT11,16.8,48.0,x1675y4800,10.3,0.0
Solar,AT,AT11,17.0,47.8,x1700y4775,27.6,0.0
Solar,AT,AT11,17.0,48.0,x1700y4800,36.6,0.0
Solar,AT,AT11,17.2,48.0,x1725y4800,0.5,0.0
Solar,AT,AT12,14.5,48.0,x1450y4800,17.5,0.0
Solar,AT,AT12,14.5,48.2,x1450y4825,0.0,0.0
Solar,AT,AT12,14.8,47.8,x1475y4775,6.1,0.0
Solar,AT,AT12,14.8,48.0,x1475y4800,49.0,0.0
Solar,AT,AT12,14.8,48.2,x1475y4825,1.5,0.0
Solar,AT,AT12,14.8,48.5,x1475y4850,0.3,0.0
Solar,AT,AT12,14.8,48.8,x1475y4875,0.9,0.0
Solar,AT,AT12,15.0,47.8,x1500y4775,5.3,0.0
Solar,AT,AT12,15.0,48.0,x1500y4800,55.5,0.0
Solar,AT,AT12,15.0,48.2,x1500y4825,58.2,0.0
Solar,AT,AT12,15.0,48.5,x1500y4850,66.9,0.0
Solar,AT,AT12,15.0,48.8,x1500y4875,99.5,0.0
Solar,AT,AT12,15.0,49.0,x1500y4900,38.6,0.0
Solar,AT,AT12,15.2,47.8,x1525y4775,0.0,0.0
Solar,AT,AT12,15.2,48.0,x1525y4800,36.0,0.0
Solar,AT,AT12,15.2,48.2,x1525y4825,76.5,0.0
Solar,AT,AT12,15.2,48.5,x1525y4850,130.9,0.0
Solar,AT,AT12,15.2,48.8,x1525y4875,101.5,0.0
Solar,AT,AT12,15.2,49.0,x1525y4900,4.8,0.0
Solar,AT,AT12,15.5,47.8,x1550y4775,0.2,0.0
Solar,AT,AT12,15.5,48.0,x1550y4800,33.8,0.0
Solar,AT,AT12,15.5,48.2,x1550y4825,71.7,0.0
Solar,AT,AT12,15.5,48.5,x1550y4850,93.5,0.0
Solar,AT,AT12,15.5,48.8,x1550y4875,102.4,0.0
Solar,AT,AT12,15.5,49.0,x1550y4900,0.2,0.0
Solar,AT,AT12,15.8,47.5,x1575y4750,0.0,0.0
Solar,AT,AT12,15.8,47.8,x1575y4775,2.2,0.0
Solar,AT,AT12,15.8,48.0,x1575y4800,25.4,0.0
Solar,AT,AT12,15.8,48.2,x1575y4825,97.2,0.0
Solar,AT,AT12,15.8,48.5,x1575y4850,112.9,0.0
Solar,AT,AT12,15.8,48.8,x1575y4875,84.7,0.0
Solar,AT,AT12,15.8,49.0,x1575y4900,0.0,0.0
Solar,AT,AT12,16.0,47.5,x1600y4750,2.3,0.0
Solar,AT,AT12,16.0,47.8,x1600y4775,39.0,0.0
Solar,AT,AT12,16.0,48.0,x1600y4800,2.2,0.0
Solar,AT,AT12,16.0,48.2,x1600y4825,44.9,0.0
Solar,AT,AT12,16.0,48.5,x1600y4850,65.0,0.0
Solar,AT,AT12,16.0,48.8,x1600y4875,31.5,0.0
Solar,AT,AT12,16.2,47.5,x1625y4750,41.2,0.0
Solar,AT,AT12,16.2,47.8,x1625y4775,61.6,0.0
Solar,AT,AT12,16.2,48.0,x1625y4800,58.6,0.0
Solar,AT,AT12,16.2,48.2,x1625y4825,13.3,0.0
Solar,AT,AT12,16.2,48.5,x1625y4850,49.2,0.0
Solar,AT,AT12,16.2,48.8,x1625y4875,3.4,0.0
Solar,AT,AT12,16.5,47.8,x1650y4775,0.5,0.0
Solar,AT,AT12,16.5,48.0,x1650y4800,40.0,0.0
Solar,AT,AT12,16.5,48.2,x1650y4825,1.9,0.0
Solar,AT,AT12,16.5,48.5,x1650y4850,66.4,0.0
Solar,AT,AT12,16.5,48.8,x1650y4875,24.7,0.0
Solar,AT,AT12,16.8,48.0,x1675y4800,1.3,0.0
Solar,AT,AT12,16.8,48.2,x1675y4825,32.2,0.0
Solar,AT,AT12,16.8,48.5,x1675y4850,54.6,0.0
Solar,AT,AT12,16.8,48.8,x1675y4875,4.8,0.0
Solar,AT,AT12,17.0,48.0,x1700y4800,0.0,0.0
Solar,AT,AT12,17.0,48.2,x1700y4825,0.2,0.0
Solar,AT,AT12,17.0,48.5,x1700y4850,1.6,0.0
Solar,AT,AT12,17.0,48.8,x1700y4875,0.0,0.0
Solar,AT,AT13,16.2,48.2,x1625y4825,0.5,0.0
Solar,AT,AT13,16.5,48.0,x1650y4800,0.0,0.0
Solar,AT,AT13,16.5,48.2,x1650y4825,20.6,0.0
Solar,AT,AT21,12.8,46.8,x1275y4675,0.1,0.0
Solar,AT,AT21,12.8,47.0,x1275y4700,1.2,0.0
Solar,AT,AT21,13.0,46.8,x1300y4675,24.4,0.0
Solar,AT,AT21,13.0,47.0,x1300y4700,4.5,0.0
Solar,AT,AT21,13.2,46.5,x1325y4650,0.0,0.0
Solar,AT,AT21,13.2,46.8,x1325y4675,35.6,0.0
Solar,AT,AT21,13.2,47.0,x1325y4700,7.3,0.0
Solar,AT,AT21,13.5,46.5,x1350y4650,0.0,0.0
Solar,AT,AT21,13.5,46.8,x1350y4675,33.5,0.0
Solar,AT,AT21,13.5,47.0,x1350y4700,8.6,0.0
Solar,AT,AT21,13.8,46.5,x1375y4650,1.1,0.0
Solar,AT,AT21,13.8,46.8,x1375y4675,27.2,0.0
Solar,AT,AT21,13.8,47.0,x1375y4700,0.2,0.0
Solar,AT,AT21,14.0,46.5,x1400y4650,43.7,0.0
Solar,AT,AT21,14.0,46.8,x1400y4675,44.5,0.0
Solar,AT,AT21,14.0,47.0,x1400y4700,0.6,0.0
Solar,AT,AT21,14.2,46.5,x1425y4650,42.5,0.0
Solar,AT,AT21,14.2,46.8,x1425y4675,106.5,0.0
Solar,AT,AT21,14.2,47.0,x1425y4700,12.5,0.0
Solar,AT,AT21,14.5,46.5,x1450y4650,53.1,0.0
Solar,AT,AT21,14.5,46.8,x1450y4675,130.8,0.0
Solar,AT,AT21,14.5,47.0,x1450y4700,16.8,0.0
Solar,AT,AT21,14.8,46.5,x1475y4650,44.9,0.0
Solar,AT,AT21,14.8,46.8,x1475y4675,100.6,0.0
Solar,AT,AT21,14.8,47.0,x1475y4700,8.8,0.0
Solar,AT,AT21,15.0,46.8,x1500y4675,34.4,0.0
Solar,AT,AT21,15.0,47.0,x1500y4700,0.6,0.0
Solar,AT,AT22,13.5,47.5,x1350y4750,0.2,0.0
Solar,AT,AT22,13.8,47.0,x1375y4700,0.1,0.0
Solar,AT,AT22,13.8,47.2,x1375y4725,0.3,0.0
Solar,AT,AT22,13.8,47.5,x1375y4750,26.0,0.0
Solar,AT,AT22,13.8,47.8,x1375y4775,0.0,0.0
Solar,AT,AT22,14.0,47.0,x1400y4700,3.8,0.0
Solar,AT,AT22,14.0,47.2,x1400y4725,9.6,0.0
Solar,AT,AT22,14.0,47.5,x1400y4750,35.2,0.0
Solar,AT,AT22,14.0,47.8,x1400y4775,0.0,0.0
Solar,AT,AT22,14.2,47.0,x1425y4700,0.0,0.0
Solar,AT,AT22,14.2,47.2,x1425y4725,19.6,0.0
Solar,AT,AT22,14.2,47.5,x1425y4750,15.2,0.0
Solar,AT,AT22,14.5,47.0,x1450y4700,0.0,0.0
Solar,AT,AT22,14.5,47.2,x1450y4725,27.1,0.0
Solar,AT,AT22,14.5,47.5,x1450y4750,23.6,0.0
Solar,AT,AT22,14.5,47.8,x1450y4775,0.1,0.0
Solar,AT,AT22,14.8,47.0,x1475y4700,0.1,0.0
Solar,AT,AT22,14.8,47.2,x1475y4725,75.9,0.0
Solar,AT,AT22,14.8,47.5,x1475y4750,8.4,0.0
Solar,AT,AT22,14.8,47.8,x1475y4775,0.0,0.0
Solar,AT,AT22,15.0,46.8,x1500y4675,0.6,0.0
Solar,AT,AT22,15.0,47.0,x1500y4700,19.1,0.0
Solar,AT,AT22,15.0,47.2,x1500y4725,27.5,0.0
Solar,AT,AT22,15.0,47.5,x1500y4750,28.2,0.0
Solar,AT,AT22,15.0,47.8,x1500y4775,0.0,0.0
Solar,AT,AT22,15.2,46.8,x1525y4675,112.2,0.0
Solar,AT,AT22,15.2,47.0,x1525y4700,115.0,0.0
Solar,AT,AT22,15.2,47.2,x1525y4725,21.8,0.0
Solar,AT,AT22,15.2,47.5,x1525y4750,26.7,0.0
Solar,AT,AT22,15.2,47.8,x1525y4775,6.2,0.0
Solar,AT,AT22,15.5,46.8,x1550y4675,144.5,0.0
Solar,AT,AT22,15.5,47.0,x1550y4700,129.8,0.0
Solar,AT,AT22,15.5,47.2,x1550y4725,59.4,0.0
Solar,AT,AT22,15.5,47.5,x1550y4750,21.4,0.0
Solar,AT,AT22,15.5,47.8,x1550y4775,6.4,0.0
Solar,AT,AT22,15.8,46.8,x1575y4675,143.2,0.0
Solar,AT,AT22,15.8,47.0,x1575y4700,154.8,0.0
Solar,AT,AT22,15.8,47.2,x1575y4725,115.0,0.0
Solar,AT,AT22,15.8,47.5,x1575y4750,12.4,0.0
Solar,AT,AT22,15.8,47.8,x1575y4775,0.7,0.0
Solar,AT,AT22,16.0,46.8,x1600y4675,2.6,0.0
Solar,AT,AT22,16.0,47.0,x1600y4700,132.6,0.0
Solar,AT,AT22,16.0,47.2,x1600y4725,135.9,0.0
Solar,AT,AT22,16.0,47.5,x1600y4750,4.2,0.0
Solar,AT,AT22,16.2,47.0,x1625y4700,1.6,0.0
Solar,AT,AT22,16.2,47.2,x1625y4725,0.3,0.0
Solar,AT,AT22,16.2,47.5,x1625y4750,0.0,0.0
Solar,AT,AT31,12.8,48.0,x1275y4800,0.0,0.0
Solar,AT,AT31,12.8,48.2,x1275y4825,0.0,0.0
Solar,AT,AT31,13.0,48.0,x1300y4800,3.8,0.0
Solar,AT,AT31,13.0,48.2,x1300y4825,1.2,0.0
Solar,AT,AT31,13.2,47.8,x1325y4775,0.0,0.0
Solar,AT,AT31,13.2,48.0,x1325y4800,50.8,0.0
Solar,AT,AT31,13.2,48.2,x1325y4825,48.4,0.0
Solar,AT,AT31,13.5,47.5,x1350y4750,0.0,0.0
Solar,AT,AT31,13.5,47.8,x1350y4775,17.9,0.0
Solar,AT,AT31,13.5,48.0,x1350y4800,115.8,0.0
Solar,AT,AT31,13.5,48.2,x1350y4825,70.7,0.0
Solar,AT,AT31,13.5,48.5,x1350y4850,99.3,0.0
Solar,AT,AT31,13.8,47.5,x1375y4750,0.0,0.0
Solar,AT,AT31,13.8,47.8,x1375y4775,11.9,0.0
Solar,AT,AT31,13.8,48.0,x1375y4800,99.2,0.0
Solar,AT,AT31,13.8,48.2,x1375y4825,77.8,0.0
Solar,AT,AT31,13.8,48.5,x1375y4850,113.1,0.0
Solar,AT,AT31,13.8,48.8,x1375y4875,0.6,0.0
Solar,AT,AT31,14.0,47.8,x1400y4775,7.9,0.0
Solar,AT,AT31,14.0,48.0,x1400y4800,85.8,0.0
Solar,AT,AT31,14.0,48.2,x1400y4825,103.1,0.0
Solar,AT,AT31,14.0,48.5,x1400y4850,136.2,0.0
Solar,AT,AT31,14.0,48.8,x1400y4875,0.1,0.0
Solar,AT,AT31,14.2,47.8,x1425y4775,25.4,0.0
Solar,AT,AT31,14.2,48.0,x1425y4800,56.0,0.0
Solar,AT,AT31,14.2,48.2,x1425y4825,97.0,0.0
Solar,AT,AT31,14.2,48.5,x1425y4850,114.2,0.0
Solar,AT,AT31,14.5,47.8,x1450y4775,3.9,0.0
Solar,AT,AT31,14.5,48.0,x1450y4800,2.5,0.0
Solar,AT,AT31,14.5,48.2,x1450y4825,91.1,0.0
Solar,AT,AT31,14.5,48.5,x1450y4850,131.7,0.0
Solar,AT,AT31,14.5,48.8,x1450y4875,0.0,0.0
Solar,AT,AT31,14.8,47.8,x1475y4775,0.1,0.0
Solar,AT,AT31,14.8,48.0,x1475y4800,0.0,0.0
Solar,AT,AT31,14.8,48.2,x1475y4825,95.1,0.0
Solar,AT,AT31,14.8,48.5,x1475y4850,53.8,0.0
Solar,AT,AT31,15.0,48.2,x1500y4825,1.7,0.0
Solar,AT,AT31,15.0,48.5,x1500y4850,3.7,0.0
Solar,AT,AT32,12.0,47.2,x1200y4725,0.0,0.0
Solar,AT,AT32,12.2,47.2,x1225y4725,8.5,0.0
Solar,AT,AT32,12.5,47.2,x1250y4725,19.7,0.0
Solar,AT,AT32,12.5,47.5,x1250y4750,0.1,0.0
Solar,AT,AT32,12.8,47.2,x1275y4725,25.1,0.0
Solar,AT,AT32,12.8,47.5,x1275y4750,31.5,0.0
Solar,AT,AT32,12.8,47.8,x1275y4775,0.0,0.0
Solar,AT,AT32,12.8,48.0,x1275y4800,0.7,0.0
Solar,AT,AT32,13.0,47.0,x1300y4700,0.0,0.0
Solar,AT,AT32,13.0,47.2,x1300y4725,13.9,0.0
Solar,AT,AT32,13.0,47.5,x1300y4750,2.1,0.0
Solar,AT,AT32,13.0,47.8,x1300y4775,53.9,0.0
Solar,AT,AT32,13.0,48.0,x1300y4800,66.7,0.0
Solar,AT,AT32,13.2,47.0,x1325y4700,0.0,0.0
Solar,AT,AT32,13.2,47.2,x1325y4725,11.3,0.0
Solar,AT,AT32,13.2,47.5,x1325y4750,27.5,0.0
Solar,AT,AT32,13.2,47.8,x1325y4775,61.0,0.0
Solar,AT,AT32,13.2,48.0,x1325y4800,3.0,0.0
Solar,AT,AT32,13.5,47.0,x1350y4700,0.4,0.0
Solar,AT,AT32,13.5,47.2,x1350y4725,13.7,0.0
Solar,AT,AT32,13.5,47.5,x1350y4750,13.0,0.0
Solar,AT,AT32,13.5,47.8,x1350y4775,0.2,0.0
Solar,AT,AT32,13.8,47.0,x1375y4700,12.7,0.0
Solar,AT,AT32,13.8,47.2,x1375y4725,19.3,0.0
Solar,AT,AT32,14.0,47.0,x1400y4700,0.1,0.0
Solar,AT,AT32,14.0,47.2,x1400y4725,0.4,0.0
Solar,AT,AT33,10.2,47.0,x1025y4700,4.7,0.0
Solar,AT,AT33,10.2,47.2,x1025y4725,3.9,0.0
Solar,AT,AT33,10.5,47.0,x1050y4700,5.7,0.0
Solar,AT,AT33,10.5,47.2,x1050y4725,8.5,0.0
Solar,AT,AT33,10.5,47.5,x1050y4750,10.5,0.0
