time,countries,technology,value
0,AT,HydroRes,1016.0
0,BE,HydroRes,6.0
0,BG,HydroRes,137.0
0,CH,HydroRes,1011.0
0,CZ,HydroRes,272.0
0,DE,HydroRes,130.0
0,ES,HydroRes,5391.0
0,FI,HydroRes,548.0
0,FR,HydroRes,8183.0
0,GR,HydroRes,383.0
0,HR,HydroRes,5666.0
0,HU,HydroRes,12.0
0,IE,HydroRes,1.0
0,IT,HydroRes,4842.0
0,LT,HydroRes,56.0
0,LV,HydroRes,283.0
0,NO,HydroRes,9206.0
0,PL,HydroRes,207.0
0,PT,HydroRes,2618.0
0,RO,HydroRes,2236.0
0,SE,HydroRes,4832.0
0,SI,HydroRes,387.0
0,SK,HydroRes,156.0
0,UK,HydroRes,264.0
1,AT,HydroRes,1015.0
1,BE,HydroRes,6.0
1,BG,HydroRes,137.0
1,CH,HydroRes,1012.0
1,CZ,HydroRes,258.0
1,DE,HydroRes,130.0
1,ES,HydroRes,5254.0
1,FI,HydroRes,548.0
1,FR,HydroRes,7813.0
1,GR,HydroRes,384.0
1,HR,HydroRes,7232.0
1,HU,HydroRes,18.0
1,IE,HydroRes,1.0
1,IT,HydroRes,4717.0
1,LT,HydroRes,56.0
1,LV,HydroRes,283.0
1,NO,HydroRes,9203.0
1,PL,HydroRes,205.0
1,PT,HydroRes,2574.0
1,RO,HydroRes,2398.0
1,SE,HydroRes,4831.0
1,SI,HydroRes,396.0
1,SK,HydroRes,186.0
1,UK,HydroRes,263.0
2,AT,HydroRes,1015.0
2,BE,HydroRes,6.0
2,BG,HydroRes,138.0
2,CH,HydroRes,1014.0
2,CZ,HydroRes,243.0
2,DE,HydroRes,129.0
2,ES,HydroRes,5373.0
2,FI,HydroRes,548.0
2,FR,HydroRes,6920.0
2,GR,HydroRes,388.0
2,HR,HydroRes,8438.0
2,HU,HydroRes,27.0
2,IE,HydroRes,1.0
2,IT,HydroRes,4361.0
2,LT,HydroRes,56.0
2,LV,HydroRes,283.0
2,NO,HydroRes,9201.0
2,PL,HydroRes,206.0
2,PT,HydroRes,2630.0
2,RO,HydroRes,2498.0
2,SE,HydroRes,4830.0
2,SI,HydroRes,396.0
2,SK,HydroRes,192.0
2,UK,HydroRes,263.0
3,AT,HydroRes,1014.0
3,BE,HydroRes,6.0
3,BG,HydroRes,138.0
3,CH,HydroRes,1019.0
3,CZ,HydroRes,231.0
3,DE,HydroRes,129.0
3,ES,HydroRes,5631.0
3,FI,HydroRes,548.0
3,FR,HydroRes,6497.0
3,GR,HydroRes,398.0
3,HR,HydroRes,9762.0
3,HU,HydroRes,37.0
3,IE,HydroRes,1.0
3,IT,HydroRes,3962.0
3,LT,HydroRes,56.0
3,LV,HydroRes,283.0
3,NO,HydroRes,9199.0
3,PL,HydroRes,206.0
3,PT,HydroRes,3193.0
3,RO,HydroRes,2613.0
3,SE,HydroRes,4830.0
3,SI,HydroRes,387.0
3,SK,HydroRes,192.0
3,UK,HydroRes,263.0
4,AT,HydroRes,1014.0
4,BE,HydroRes,6.0
4,BG,HydroRes,139.0
4,CH,HydroRes,1025.0
4,CZ,HydroRes,222.0
4,DE,HydroRes,129.0
4,ES,HydroRes,5859.0
4,FI,HydroRes,548.0
4,FR,HydroRes,6230.0
4,GR,HydroRes,408.0
4,HR,HydroRes,10018.0
4,HU,HydroRes,46.0
4,IE,HydroRes,1.0
4,IT,HydroRes,3716.0
4,LT,HydroRes,56.0
4,LV,HydroRes,283.0
4,NO,HydroRes,9196.0
4,PL,HydroRes,207.0
4,PT,HydroRes,3581.0
4,RO,HydroRes,2664.0
4,SE,HydroRes,4829.0
4,SI,HydroRes,376.0
4,SK,HydroRes,193.0
4,UK,HydroRes,263.0
5,AT,HydroRes,1014.0
5,BE,HydroRes,6.0
5,BG,HydroRes,139.0
5,CH,HydroRes,1033.0
5,CZ,HydroRes,215.0
5,DE,HydroRes,129.0
5,ES,HydroRes,5992.0
5,FI,HydroRes,548.0
5,FR,HydroRes,6216.0
5,GR,HydroRes,423.0
5,HR,HydroRes,9579.0
5,HU,HydroRes,56.0
5,IE,HydroRes,1.0
5,IT,HydroRes,3551.0
5,LT,HydroRes,56.0
5,LV,HydroRes,283.0
5,NO,HydroRes,9194.0
5,PL,HydroRes,206.0
5,PT,HydroRes,3809.0
5,RO,HydroRes,2749.0
5,SE,HydroRes,4828.0
5,SI,HydroRes,365.0
5,SK,HydroRes,189.0
5,UK,HydroRes,263.0
6,AT,HydroRes,1014.0
6,BE,HydroRes,6.0
6,BG,HydroRes,139.0
6,CH,HydroRes,1042.0
6,CZ,HydroRes,211.0
6,DE,HydroRes,129.0
6,ES,HydroRes,6041.0
6,FI,HydroRes,548.0
6,FR,HydroRes,6159.0
6,GR,HydroRes,451.0
6,HR,HydroRes,8798.0
6,HU,HydroRes,63.0
6,IE,HydroRes,1.0
6,IT,HydroRes,3627.0
6,LT,HydroRes,56.0
6,LV,HydroRes,283.0
6,NO,HydroRes,9191.0
6,PL,HydroRes,205.0
6,PT,HydroRes,4022.0
6,RO,HydroRes,2843.0
6,SE,HydroRes,4828.0
6,SI,HydroRes,356.0
6,SK,HydroRes,183.0
6,UK,HydroRes,263.0
7,AT,HydroRes,1018.0
7,BE,HydroRes,6.0
7,BG,HydroRes,140.0
7,CH,HydroRes,1040.0
7,CZ,HydroRes,207.0
7,DE,HydroRes,151.0
7,ES,HydroRes,5943.0
7,FI,HydroRes,535.0
7,FR,HydroRes,6050.0
7,GR,HydroRes,499.0
7,HR,HydroRes,8083.0
7,HU,HydroRes,60.0
7,IE,HydroRes,1.0
7,IT,HydroRes,3820.0
7,LT,HydroRes,53.0
