time,technology,spatial,0
0,Solar,AT11,0.0
0,Solar,AT12,0.0
0,Solar,AT13,0.0
0,Solar,AT21,0.0
0,Solar,AT22,0.0
0,Solar,AT31,0.0
0,Solar,AT32,0.0
0,Solar,AT33,0.0
0,Solar,AT34,0.0
0,Solar,BE10,
0,Solar,BE21,0.0
0,Solar,BE22,0.0
0,Solar,BE23,0.0
0,Solar,BE24,0.0
0,Solar,BE25,0.0
0,Solar,BE31,0.0
0,Solar,BE32,0.0
0,Solar,BE33,0.0
0,Solar,BE34,0.0
0,Solar,BE35,0.0
0,Solar,BG31,0.0
0,Solar,BG32,0.0
0,Solar,BG33,0.0
0,Solar,BG34,0.0
0,Solar,BG41,0.0
0,Solar,BG42,0.0
0,Solar,CH01,0.0
0,Solar,CH02,0.0
0,Solar,CH03,0.0
0,Solar,CH04,0.0
0,Solar,CH05,0.0
0,Solar,CH06,0.0
0,Solar,CH07,0.0
0,Solar,CZ01,0.0
0,Solar,CZ02,0.0
0,Solar,CZ03,0.0
0,Solar,CZ04,0.0
0,Solar,CZ05,0.0
0,Solar,CZ06,0.0
0,Solar,CZ07,0.0
0,Solar,CZ08,0.0
0,Solar,DE11,0.0
0,Solar,DE12,0.0
0,Solar,DE13,0.0
0,Solar,DE14,0.0
0,Solar,DE21,0.0
0,Solar,DE22,0.0
0,Solar,DE23,0.0
0,Solar,DE24,0.0
0,Solar,DE25,0.0
0,Solar,DE26,0.0
0,Solar,DE27,0.0
0,Solar,DE30,0.0
0,Solar,DE40,0.0
0,Solar,DE50,
0,Solar,DE60,0.0
0,Solar,DE71,0.0
0,Solar,DE72,0.0
0,Solar,DE73,0.0
0,Solar,DE80,0.0
0,Solar,DE91,0.0
0,Solar,DE92,0.0
0,Solar,DE93,0.0
0,Solar,DE94,0.0
0,Solar,DEA1,0.0
0,Solar,DEA2,0.0
0,Solar,DEA3,0.0
0,Solar,DEA4,0.0
0,Solar,DEA5,0.0
0,Solar,DEB1,0.0
0,Solar,DEB2,0.0
0,Solar,DEB3,0.0
0,Solar,DEC0,0.0
0,Solar,DED2,0.0
0,Solar,DED4,0.0
0,Solar,DED5,0.0
0,Solar,DEE0,0.0
0,Solar,DEF0,0.0
0,Solar,DEG0,0.0
0,Solar,DK01,0.0
0,Solar,DK02,0.0
0,Solar,DK03,0.0
0,Solar,DK04,0.0
0,Solar,DK05,0.0
0,Solar,EE00,0.0
0,Solar,ES11,0.0
0,Solar,ES12,0.0
0,Solar,ES13,0.0
0,Solar,ES21,0.0
0,Solar,ES22,0.0
0,Solar,ES23,0.0
0,Solar,ES24,0.0
0,Solar,ES30,0.0
0,Solar,ES41,0.0
0,Solar,ES42,0.0
0,Solar,ES43,0.0
0,Solar,ES51,0.0
0,Solar,ES52,0.0
0,Solar,ES53,0.0
0,Solar,ES61,0.0
0,Solar,ES62,0.0
0,Solar,ES63,
0,Solar,FI19,0.0
0,Solar,FI1B,0.0
0,Solar,FI1C,0.0
0,Solar,FI1D,0.0
0,Solar,FI20,0.0
0,Solar,FR10,0.0
0,Solar,FRB0,0.0
0,Solar,FRC1,0.0
0,Solar,FRC2,0.0
0,Solar,FRD1,0.0
0,Solar,FRD2,0.0
0,Solar,FRE1,0.0
0,Solar,FRE2,0.0
0,Solar,FRF1,0.0
0,Solar,FRF2,0.0
0,Solar,FRF3,0.0
0,Solar,FRG0,0.0
0,Solar,FRH0,0.0
0,Solar,FRI1,0.0
0,Solar,FRI2,0.0
0,Solar,FRI3,0.0
0,Solar,FRJ1,0.0
0,Solar,FRJ2,0.0
0,Solar,FRK1,0.0
0,Solar,FRK2,0.0
0,Solar,FRL0,0.0
0,Solar,FRM0,0.0
0,Solar,EL30,0.0
0,Solar,EL41,0.0
0,Solar,EL42,0.0
0,Solar,EL51,0.0
0,Solar,EL52,0.0
0,Solar,EL53,0.0
0,Solar,EL54,0.0
0,Solar,EL61,0.0
0,Solar,EL62,0.0
0,Solar,EL63,0.0
0,Solar,EL64,0.0
0,Solar,EL65,0.0
0,Solar,HR02,0.0
0,Solar,HR03,0.0
0,Solar,HR05,0.0
0,Solar,HR06,0.0
0,Solar,HU11,0.0
0,Solar,HU12,0.0
0,Solar,HU21,0.0
0,Solar,HU22,0.0
0,Solar,HU23,0.0
0,Solar,HU31,0.0
0,Solar,HU32,0.0
0,Solar,HU33,0.0
0,Solar,IE04,0.0
0,Solar,IE05,0.0
0,Solar,IE06,0.0
0,Solar,ITC1,0.0
0,Solar,ITC2,0.0
0,Solar,ITC3,0.0
0,Solar,ITC4,0.0
0,Solar,ITF1,0.0
0,Solar,ITF2,0.0
0,Solar,ITF3,0.0
0,Solar,ITF4,0.0
0,Solar,ITF5,0.0
0,Solar,ITF6,0.0
0,Solar,ITG1,0.0
0,Solar,ITG2,0.0
0,Solar,ITH1,0.0
0,Solar,ITH2,0.0
0,Solar,ITH3,0.0
0,Solar,ITH4,0.0
0,Solar,ITH5,0.0
0,Solar,ITI1,0.0
0,Solar,ITI2,0.0
0,Solar,ITI3,0.0
0,Solar,ITI4,0.0
0,Solar,LT01,0.0
0,Solar,LT02,0.0
0,Solar,LU00,0.0
0,Solar,LV00,0.0
0,Solar,NL11,0.0
